"Acanthastrea","Acanthastrea.brevis","Acanthastrea.echinata","Acanthastrea.Encrusting","Acanthastrea.Hemispherical","Acanthastrea.hemprichii","Acanthastrea.hillae","Acanthastrea.Submassive","Acropora","Acropora.abrolhosensis","Acropora.abrotanoides","Acropora.aculeus","Acropora.anthocercis","Acropora.Arborescent.table","Acropora.austera","Acropora.Bushy.arborescent","Acropora.bushyensis","Acropora.carduus","Acropora.caroliniana","Acropora.cerealis","Acropora.chesterfieldensis","Acropora.clathrata","Acropora.cytherea","Acropora.Digitate","Acropora.digitifera","Acropora.divaricata","Acropora.donei","Acropora.echinata","Acropora.efflorescens","Acropora.elseyi","Acropora.Encrusting","Acropora.florida","Acropora.gemmifera","Acropora.glauca","Acropora.globiceps","Acropora.grandis","Acropora.granulosa","Acropora.horrida","Acropora.humilis","Acropora.hyacinthus","Acropora.intermedia","Acropora.latistella","Acropora.listeri","Acropora.loisetteae","Acropora.longicyathus","Acropora.loripes","Acropora.lovelli","Acropora.lutkeni","Acropora.microclados","Acropora.microphthalma","Acropora.millepora","Acropora.monticulosa","Acropora.muricata","Acropora.nana","Acropora.nasuta","Acropora.paniculata","Acropora.papillare","Acropora.Perforated.plate","Acropora.polystoma","Acropora.pulchra","Acropora.robusta","Acropora.samoensis","Acropora.sarmentosa","Acropora.secale","Acropora.selago","Acropora.seriata","Acropora.spathulata","Acropora.spicifera","Acropora.Staghorn","Acropora.striata","Acropora.subglabra","Acropora.subulata","Acropora.sukarnoi","Acropora.tenuis","Acropora.turaki","Acropora.valenciennesi","Acropora.valida","Acropora.vaughani","Acropora.verweyi","Acropora.yongei","Alveopora.catalai","Alveopora.Hemispherical","Alveopora.spongiosa","Alveopora.Submassive","Anacropora.Branching","Astrea.annuligera","Astrea.curta","Astreopora.cucullata","Astreopora.Encrusting","Astreopora.expansa","Astreopora.gracilis","Astreopora.Hemispherical","Astreopora.incrustans","Astreopora.listeri","Astreopora.myriophthalma","Astreopora.ocellata","Astreopora.Solid.plates","Astreopora.Submassive","Bottlebrush.Acropora.corals","Branching.Acropora","Branching.corals","Branching.Pocillopora","Coeloseris.mayeri","Columnar.corals","Coral.Species","Corals","Corymbose.Acropora.corals","Coscinaraea.columna","Coscinaraea.Encrusting","Coscinaraea.exesa","Coscinaraea.Submassive","Ctenactis","Ctenactis.crassa","Ctenactis.echinata","Cycloseris.patelliformis","Cynarina.lacrymalis","Cyphastrea","Cyphastrea.agassizi","Cyphastrea.Branching","Cyphastrea.chalcidicum","Cyphastrea.Encrusting","Cyphastrea.Hemispherical","Cyphastrea.microphthalma","Cyphastrea.serailia","Cyphastrea.Submassive","Digitate.corals","Diploastrea.heliopora","Echinophyllia","Echinophyllia.aspera","Echinophyllia.Encrusting","Echinophyllia.orpheensis","Echinopora","Echinopora.ashmorensis","Echinopora.Encrusting","Echinopora.Foliose","Echinopora.gemmacea","Echinopora.horrida","Echinopora.lamellosa","Echinopora.mammiformis","Echinopora.pacificus","Echinopora.Submassive","Encrusting.corals","Euphyllia.ancora","Euphyllia.glabrescens","Favia","Favia.amicorum","Favia.favus","Favia.helianthoides","Favia.Hemispherical","Favia.laxa","Favia.lizardensis","Favia.maritima","Favia.matthaii","Favia.pallida","Favia.rotumana","Favia.rotundata","Favia.speciosa","Favia.stelligera","Favia.Submassive","Favia.veroni","Favites","Favites.abdita","Favites.complanata","Favites.Encrusting","Favites.flexuosa","Favites.halicora","Favites.Hemispherical","Favites.pentagona","Favites.russelli","Favites.Submassive","Foliose.Plate.corals","Fungia","Fungia.concinna","Fungia.danai","Fungia.fungites","Fungia.granulosa","Fungia.horrida","Fungia.paumotensis","Fungia.scutaria","Galaxea","Galaxea.astreata","Galaxea.Encrusting","Galaxea.fascicularis","Galaxea.Hemispherical","Galaxea.horrescens","Galaxea.Submassive","Gardineroseris.planulata","Goniastrea","Goniastrea.aspera","Goniastrea.australensis","Goniastrea.edwardsi","Goniastrea.Hemispherical","Goniastrea.pectinata","Goniastrea.retiformis","Goniastrea.Submassive","Goniopora","Goniopora.Columnar.or.digitate","Goniopora.Encrusting","Goniopora.fruticosa","Goniopora.Hemispherical","Goniopora.somaliensis","Goniopora.Submassive","Goniopora.tenuidens","Halomitra.pileus","Heliofungia.actiniformis","Heliopora.coerulea..blue.coral.","Herpolitha.limax","Hydnophora.Branching","Hydnophora.exesa","Hydnophora.grandis","Hydnophora.microconos","Hydnophora.pilosa","Hydnophora.rigida","Isopora","Isopora.Branching","Isopora.brueggemanni","Isopora.Columnar.or.digitate","Isopora.cuneata","Isopora.cylindrica","Isopora.elizabethensis","Isopora.Encrusting","Isopora.palifera","Isopora.Submassive","Leptastrea","Leptastrea.bottae","Leptastrea.Encrusting","Leptastrea.inaequalis","Leptastrea.pruinosa","Leptastrea.purpurea","Leptastrea.Submassive","Leptastrea.transversa","Leptoria.phrygia","Leptoseris","Leptoseris.Encrusting","Leptoseris.mycetoseroides","Leptoseris.scabra","Leptoseris.yabei","Lobophyllia","Lobophyllia.corymbosa","Lobophyllia.dentatus","Lobophyllia.Hemispherical","Lobophyllia.hemprichii","Lobophyllia.pachysepta","Lobophyllia.robusta","Massive.corals","Merulina.ampliata","Merulina.scabricula","Millepora","Millepora.branching","Millepora.dichotoma","Millepora.exaesa","Millepora.intricata","Millepora.tenera","Montipora","Montipora.aequituberculata","Montipora.caliculata","Montipora.Columnar.or.digitate","Montipora.corbettensis","Montipora.crassituberculata","Montipora.danae","Montipora.digitata","Montipora.efflorescens","Montipora.Encrusting","Montipora.floweri","Montipora.foliosa","Montipora.Foliose","Montipora.foveolata","Montipora.grisea","Montipora.Hemispherical","Montipora.hispida","Montipora.hoffmeisteri","Montipora.incrassata","Montipora.informis","Montipora.meandrina","Montipora.monasteriata","Montipora.nodosa","Montipora.palawanensis","Montipora.peltiformis","Montipora.Solid.plates","Montipora.spongodes","Montipora.spumosa","Montipora.stellata","Montipora.Submassive","Montipora.tuberculosa","Montipora.turgescens","Montipora.undata","Montipora.venosa","Montipora.verrucosa","Moseleya.latistellata","Mycedium.elephantotus","Mycedium.mancaoi","New.species.record","Organ.pipe.coral..Tubipora.","Oulophyllia","Oulophyllia.bennettae","Oulophyllia.crispa","Oxypora","Oxypora.crassispinosa","Oxypora.Encrusting","Oxypora.lacera","Pachyseris","Pachyseris.Encrusting","Pachyseris.Foliose","Pachyseris.rugosa","Pachyseris.speciosa","Pachyseris.Submassive","Pavona.bipartita","Pavona.cactus","Pavona.clavus","Pavona.decussata","Pavona.duerdeni","Pavona.explanulata","Pavona.maldivensis","Pavona.minuta","Pavona.Submassive","Pavona.varians","Pavona.venosa","Pectinia.alcicornis","Pectinia.Encrusting","Pectinia.lactuca","Pectinia.paeonia","Pectinia.teres","Phymastrea","Phymastrea.magnistellata","Phymastrea.valenciennesi","Physogyra.lichtensteini","Platygyra","Platygyra.contorta","Platygyra.daedalea","Platygyra.Encrusting","Platygyra.Hemispherical","Platygyra.lamellina","Platygyra.pini","Platygyra.ryukyuensis","Platygyra.sinensis","Platygyra.Submassive","Platygyra.verweyi","Platygyra.yaeyamaensis","Plesiastrea.versipora","Pocillopora","Pocillopora.damicornis","Pocillopora.danae","Pocillopora.eydouxi","Pocillopora.meandrina","Pocillopora.verrucosa","Podabacia.crustacea","Porites","Porites.annae","Porites.Branching","Porites.cylindrica","Porites.Encrusting","Porites.Foliose","Porites.Hemispherical","Porites.lichen","Porites.Massive","Porites.monticulosa","Porites.nigrescens","Porites.rugosa","Porites.rus","Porites.Solid.plates","Porites.Submassive","Porites.vaughani","Psammocora.contigua","Psammocora.Encrusting","Psammocora.haimiana","Psammocora.nierstraszi","Psammocora.obtusangula","Psammocora.profundacella","Psammocora.Submassive","Sandalolitha.robusta","Seriatopora","Seriatopora.aculeata","Seriatopora.caliendrum","Seriatopora.dendritica","Seriatopora.hystrix","Solid.plate.corals","Stony.corals","Stylocoeniella.guentheri","Stylophora","Stylophora.Branching","Stylophora.pistillata","Stylophora.subseriata","Sub.massive.corals","Symphyllia","Symphyllia.agaricia","Symphyllia.hemispherica","Symphyllia.Hemispherical","Symphyllia.radians","Symphyllia.recta","Symphyllia.Submassive","Tabular.Acropora.corals","Tubastrea","Tubastrea.coccinea","Tubastrea.micranthus","Turbinaria.Encrusting","Turbinaria.Foliose","Turbinaria.frondens","Turbinaria.irregularis","Turbinaria.mesenterina","Turbinaria.peltata","Turbinaria.reniformis","Turbinaria.Solid.plates","Turbinaria.stellulata"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0,0,0,0,0.5,0
